term,lang,count,files,examples
OK,sv,28,Amanda_PyjamasParty.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_GamblingTonight.eng.mtf;Araki_YouAreMemberNow.eng.mtf;AskAboutFloppyReader.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,"OK, segt | OK | Haha, OK"
You,en,28,Albert_Ghosts.eng.mtf;Amanda_CanSellSoda.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf;_VisionaryDream.eng.mtf,"You have to do something about her computer | You're selling something, right? | You?!"
Nej,sv,27,Amanda_Arrival.eng.mtf;Amanda_CanSellSoda.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_GamblingTonight.eng.mtf;Araki_HackerTrial1.eng.mtf;Araki_YouAreMemberNow.eng.mtf;AskAboutFloppyReader.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf;_VisionaryDream.eng.mtf,"Nej, vad är så dåligt med den? | Nej tack, jag är inte sugen | Nej"
Du,sv,26,Albert_Ghosts.eng.mtf;Amanda_AfterPyjamas.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_CanSellSoda.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf;_VisionaryDream.eng.mtf,"Du måste gör något åt hennes dator | Du jag är riktigt stressad just nu, har inte riktigt lust att prata | Du jag är riktigt stressad just nu, har inte riktigt lust att prata"
No,en,26,Amanda_CanSellSoda.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_GamblingTonight.eng.mtf;Araki_HackerTrial1.eng.mtf;AskAboutFloppyReader.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf;_VisionaryDream.eng.mtf,"No thanks, I'm not in the mood | No | No thanks"
ska,sv,25,Amanda_PyjamasParty.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_GamblingTonight.eng.mtf;Araki_HackerTrial1.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_CakeParty.eng.mtf;_OnThePhone.eng.mtf,Vänta här så ska jag hämta | Jag ska nog gå hem nu | Jag vet inte hur vi ska fixa allting bara
But,en,24,Albert_Ghosts.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;AskAboutFloppyReader.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_InExperimentHall.eng.mtf;_OnThePhone.eng.mtf,But it's too big | But the new one is really annoying | But this isn't beer?
don't,en,24,Albert_Ghosts.eng.mtf;Amanda_AfterPyjamas.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_CanSellSoda.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_GamblingTonight.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf;_VisionaryDream.eng.mtf,"I don't know... | Look I'm really stressed out right now, don't feel like talking | Sorry, don't have the energy to talk"
I'm,en,24,Amanda_AfterPyjamas.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_CanSellSoda.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_Arrival.eng.mtf;Araki_HackerTrial1.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf;_SequenceBreakHeart.eng.mtf,"Look I'm really stressed out right now, don't feel like talking | Hey, I'm really stressed out right now, not really in the mood to talk | No thanks, I'm not in the mood"
Vad,sv,24,Albert_Ghosts.eng.mtf;Amanda_CanSellSoda.eng.mtf;Amanda_PyjamasParty.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_Arrival.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_InExperimentHall.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf,Vad är det? | Vad är det vi ser härifrån? | Vad gör ni här?
Hej,sv,22,Albert_Ghosts.eng.mtf;Amanda_CanSellSoda.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_Arrival.eng.mtf;Araki_GamblingTonight.eng.mtf;_BoringParty.eng.mtf;_CakeParty.eng.mtf;_OnThePhone.eng.mtf,Hej | Hej hej | Hej!
know,en,22,Albert_Ghosts.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_GamblingTonight.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf;_VisionaryDream.eng.mtf,"I don't know... | Do you know where Felix lives? | Perhaps this is a weird question, but do you know anyone named Pixie?"
nu,sv,22,Amanda_AfterPyjamas.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_Arrival.eng.mtf;Araki_GamblingTonight.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_AfterPyjamas.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_InExperimentHall.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf,"Du jag är riktigt stressad just nu, har inte riktigt lust att prata | Du jag är riktigt stressad just nu, har inte riktigt lust att prata | Äh... nu måste jag röka"
Oh,en,22,Albert_Ghosts.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_GamblingTonight.eng.mtf;AskAboutFloppyReader.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf,"Oh, that sounds annoying | Oh yes... | Oh?"
like,en,21,Amanda_AfterPyjamas.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_GamblingTonight.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,"Look I'm really stressed out right now, don't feel like talking | I like it! | Sorry, I don't feel like talking anymore"
Men,sv,21,Albert_Ghosts.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;AskAboutFloppyReader.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_InExperimentHall.eng.mtf;_OnThePhone.eng.mtf,Men det är för stort | Men vafan | Men jag tror hon jobbar där i Burrows
Vi,sv,21,Albert_Ghosts.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_GamblingTonight.eng.mtf;Araki_HackerTrial1.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_InExperimentHall.eng.mtf;_OnThePhone.eng.mtf,"Vi fick lov att släpa bort honom | Vi klarar det inte | Vi har kämpat här i flera år, och nu händer det här"
kan,sv,20,Amanda_Arrival.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_GamblingTonight.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf,"Varför kan det inte bara bli som förr? | Men de kan inte övervaka allting samtidigt, som tur är | Du måste hitta någonting som kan koppla upp sig mot andra saker"
måste,sv,20,Albert_Ghosts.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_Arrival.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_CakeParty.eng.mtf;_InExperimentHall.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf,Du måste gör något åt hennes dator | Äh... nu måste jag röka | Jag tror du måste blanda ihop henne med någon annan
Sebastian,en,18,Amanda_ClubDotGig2.eng.mtf;Araki_Arrival.eng.mtf;_CakeParty.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf;_VisionaryDream.eng.mtf,"Yeah, my name is Sebastian | Hi, my name is Sebastian! | Yeah, sorry this turned into such a mess, Sebastian"
bra,sv,17,Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_AfterPyjamas.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,Det är bra | Mår inte bra | Nej det är bra
get,en,17,Amanda_PyjamasParty.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_GamblingTonight.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf,Wait here and I'll get you one | How do you actually get out on the internet? | Yulian says he sometimes can't get out of the internet
It,en,17,Albert_Ghosts.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,It's beautiful | It's the damn Ministry that's behind all this | It looked like a ghost
ju,sv,17,Albert_Ghosts.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_CanSellSoda.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,Varken Zarah eller jag kunde ju sova | Regnar ju jämt | Jag vill INTE ha något sa jag ju precis!
out,en,17,Amanda_AfterPyjamas.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_PyjamasParty.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_HackerTrial1.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,"Look I'm really stressed out right now, don't feel like talking | Hey, I'm really stressed out right now, not really in the mood to talk | Yeah sure, we hang out all the time"
really,en,17,Albert_Ghosts.eng.mtf;Amanda_AfterPyjamas.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_PyjamasParty.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,"But the new one is really annoying | Look I'm really stressed out right now, don't feel like talking | Hey, I'm really stressed out right now, not really in the mood to talk"
något,sv,16,Albert_Ghosts.eng.mtf;Amanda_CanSellSoda.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_GamblingTonight.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,Du måste gör något åt hennes dator | Du säljer något väl? | Jag vill INTE ha något sa jag ju precis!
now,en,15,Amanda_AfterPyjamas.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_AfterPyjamas.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_InExperimentHall.eng.mtf;_OnThePhone.eng.mtf,"Look I'm really stressed out right now, don't feel like talking | Hey, I'm really stressed out right now, not really in the mood to talk | I think I'll be leaving now"
think,en,15,Albert_Ghosts.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_GamblingTonight.eng.mtf;AskAboutFloppyReader.eng.mtf;_CakeParty.eng.mtf;_OnThePhone.eng.mtf,"Although we never sleep here, come to think of it... | You think? | I think I'll be leaving now"
We,en,15,Albert_Ghosts.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_GamblingTonight.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_InExperimentHall.eng.mtf;_OnThePhone.eng.mtf,"We had to drag him away | We can't handle it | We've been fighting here for years, and now this happens"
good,en,14,Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_GamblingTonight.eng.mtf;_CakeParty.eng.mtf;_OnThePhone.eng.mtf,"I'm good | I'm good...? | Sleeping is good, or drinking something sweet"
I'll,en,14,Amanda_PyjamasParty.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_GamblingTonight.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,"Wait here and I'll get you one | I think I'll be leaving now | Okay, I'll remember that"
kommer,sv,14,Amanda_CanSellSoda.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_GamblingTonight.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf,"Jag kommer från Wellspring Soda | Hur kommer man ut på nätet egentligen? | Äsch, jag kommer inte på något smart att säga till dig!"
någon,sv,14,Albert_Ghosts.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;AskAboutFloppyReader.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_FoundBackdoor.eng.mtf;_InExperimentHall.eng.mtf;_OnThePhone.eng.mtf;_VisionaryDream.eng.mtf,"Är det någon som skriker?! | Du, har du någon öl? | Jag tror du måste blanda ihop henne med någon annan"
Pixie,en,14,Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_GamblingTonight.eng.mtf;_AfterPyjamas.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_InExperimentHall.eng.mtf;_VisionaryDream.eng.mtf,"Perhaps this is a weird question, but do you know anyone named Pixie? | Have you talked to Pixie after what happened with Ivan? | Pixie said you were coming along to the Casino? Pixie"
Sebastian,sv,14,Amanda_ClubDotGig2.eng.mtf;Araki_Arrival.eng.mtf;_CakeParty.eng.mtf;_ManHunt.eng.mtf;_OnThePhone.eng.mtf;_VisionaryDream.eng.mtf,"Ja, Sebastian heter jag faktiskt | Hej, jag heter Sebastian! | Ja, ursäkta att det blev en sådan röra här Sebastian"
something,en,14,Albert_Ghosts.eng.mtf;Amanda_CanSellSoda.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;AskAboutFloppyReader.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,"You have to do something about her computer | You're selling something, right? | But shouldn't we do something?!"
vet,sv,14,Albert_Ghosts.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf;_VisionaryDream.eng.mtf,Jag vet inte jag... | Jag vet inte | Jag vet inte hur vi ska fixa allting bara
Yeah,en,14,Amanda_CanSellSoda.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;AskAboutFloppyReader.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,"Yeah, I could tell | Yeah, my name is Sebastian | Yeah sure, we hang out all the time"
all,en,13,Albert_Ghosts.eng.mtf;Amanda_PyjamasParty.eng.mtf;Araki_AfterGhostVisit.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,"I wish I could take it all in at once | Yeah sure, we hang out all the time | It's the damn Ministry that's behind all this"
in,sv,13,Albert_Ghosts.eng.mtf;Amanda_PyjamasParty.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_GamblingTonight.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,Jag önskar att jag kunde ta in allt på samma gång | Zarah lyckades släpa in en soffa åt oss | Man går in där bakom ett hörn
lite,sv,13,Amanda_ClubDotGig2.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_Arrival.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;Araki_HackerTrial1.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,"Nej det kanske är lite segt | Kunde inte lägga ner den, så jag är lite trött idag | Det brukar hjälpa att ta det lite lugnt sen, så går det över"
ta,sv,13,Albert_Ghosts.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_GamblingTonight.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,"Jag önskar att jag kunde ta in allt på samma gång | Det brukar hjälpa att ta det lite lugnt sen, så går det över | Yulian säger att han ibland inte kunnat ta sig ut ur internet"
väl,sv,13,Amanda_CanSellSoda.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;AskAboutFloppyReader.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,Du säljer något väl? | Jo men det är det väl... | Du har väl sett hans uteplats?
Bye,en,12,Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;_CakeParty.eng.mtf;_OnThePhone.eng.mtf,"Bye | Bye Emma | Bye, see ya!"
going,en,12,Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_YouAreMemberNow.eng.mtf;_CakeParty.eng.mtf;_OnThePhone.eng.mtf,"Nice party going on here, as per usual | How's it going? | Read an awesome book about functional composition yesterday before going to slee"
Good,en,12,Amanda_Arrival.eng.mtf;Araki_GamblingTonight.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,Good evening | Good afternoon | Good
gå,sv,12,Amanda_PyjamasParty.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,"Jag ska nog gå hem nu | Ska gå och jobba lite, ha det gött | Ni får gå hem allihopa"
it's,en,12,Albert_Ghosts.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;AskAboutFloppyReader.eng.mtf;_AfterPyjamas.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,"But it's too big | Yulian says it's their fault Yulian | Well, maybe it's a bit slow"
Ivan,en,12,Araki_AfterGhostVisit.eng.mtf;_CakeParty.eng.mtf;_InExperimentHall.eng.mtf;_ManHunt.eng.mtf,Have you talked to Pixie after what happened with Ivan? | What's up Ivan? Ivan， | What's up Ivan? Ivan，
just,en,12,Albert_Ghosts.eng.mtf;Amanda_Arrival.eng.mtf;Amanda_CanSellSoda.eng.mtf;Araki_AfterGhostVisit.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,"Excuse me, what did you just say? | Why can't things just go back to the way they used to be? | I just told you I DON'T want anything!"
up,en,12,Amanda_ClubDotGig2.eng.mtf;Amanda_PyjamasParty.eng.mtf;Amanda_TryFindLodge.eng.mtf;Araki_AfterGhostVisit.eng.mtf;Araki_CasinoNightIsOver.eng.mtf;_CakeParty.eng.mtf;_DetectFactoryBreakIn.eng.mtf;_OnThePhone.eng.mtf,What's up? | What's up | I think you must have her mixed up with someone else
