term,lang,count,files,examples
don't,en,68,Babcia_AfterGhostVisit.eng.mtf;Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorFixed.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_Ghosts.eng.mtf;Babcia_TryFindLodge.eng.mtf;Bernd_Arrival.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_ClubDotGig1.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bouncer_YouAreMemberNow.eng.mtf;Bower_AfterStalking.eng.mtf;Bower_Arrival.eng.mtf;Bower_CanSellSoda.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard1_Arrival.eng.mtf;CasinoGuard2_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dave_Arrival.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_CakeParty.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,"No, I don't think so | I don't know | I don't think the intruder had to break the lock"
Nej,sv,68,Babcia_AfterGhostVisit.eng.mtf;Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_Ghosts.eng.mtf;Babcia_TryFindLodge.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_ClubDotGig1.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bower_AfterStalking.eng.mtf;Bower_CanSellSoda.eng.mtf;Bower_GamblingTonight.eng.mtf;CasinoGuard1_Arrival.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf,"Nej, aldrig | Nej, våra gäster kan komma när som helst | Nej, det tror jag inte"
OK,sv,67,Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorFixed.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_ClubDotGig1.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bower_AfterStalking.eng.mtf;Bower_Arrival.eng.mtf;Bower_CanSellSoda.eng.mtf;BreakInPetra.eng.mtf;CasinoBartender_Arrival.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,"OK, spännande | OK, tack så mycket | OK"
You,en,63,Babcia_AfterGhostVisit.eng.mtf;Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_Ghosts.eng.mtf;Babcia_TryFindLodge.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_ClubDotGig1.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bower_Arrival.eng.mtf;BreakInPetra.eng.mtf;BustedAtLongsons.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard1_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf,"You lock the doors here at night, right? | You don't happen to know anything about ghosts here at the hotel? | You wouldn't happen to want to buy a soda?"
Du,sv,57,Babcia_AfterGhostVisit.eng.mtf;Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_Ghosts.eng.mtf;Babcia_TryFindLodge.eng.mtf;Bernd_Arrival.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_AfterStalking.eng.mtf;Bob_Arrival.eng.mtf;Bob_TryFindLodge.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;BreakInPetra.eng.mtf;BustedAtLongsons.eng.mtf;Chuck_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf,Du känner inte till något om spöken här på hotellet? | Du vill inte köpa en läsk? | Du gör nog bäst i att följa mitt exempel
nu,sv,56,Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorFixed.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_GotIntoRoom.eng.mtf;Babcia_TryFindLodge.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bower_CanSellSoda.eng.mtf;Bower_GamblingTonight.eng.mtf;BreakInPetra.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard1_Arrival.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dave_Arrival.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf,"Nej, jag ska nog ta och gå nu | Ska gå upp och lägga mig nu, ha det gött! | Ska dra ut på stan nu, hej då!"
ska,sv,51,Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorFixed.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_ClubDotGig1.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bouncer_YouAreMemberNow.eng.mtf;BustedAtLongsons.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard1_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf,"Jag gillar inte såna där ungtuppar som ska springa runt och rädda världen | Nej, jag ska nog ta och gå nu | Hur ska jag veta det, jag jobbar inte där"
think,en,51,Babcia_AfterGhostVisit.eng.mtf;Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_Ghosts.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bouncer_YouAreMemberNow.eng.mtf;Bower_AfterStalking.eng.mtf;Bower_CanSellSoda.eng.mtf;Bower_GamblingTonight.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard2_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,"No, I don't think so | I don't think the intruder had to break the lock | I think I'm out"
like,en,49,Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_Ghosts.eng.mtf;Babcia_GotIntoRoom.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_Arrival.eng.mtf;Bower_Arrival.eng.mtf;BreakInPetra.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard2_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,"They like snooping around, I can tell you that much | Sounds like a drag | A couple of days in Dorisburg and you already sound like Yulian"
know,en,48,Babcia_AfterGhostVisit.eng.mtf;Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_Ghosts.eng.mtf;Babcia_TryFindLodge.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_ClubDotGig1.eng.mtf;Bob_TryFindLodge.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bouncer_YouAreMemberNow.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,I don't know | You don't happen to know anything about ghosts here at the hotel? | I don't know
kan,sv,43,Babcia_AfterGhostVisit.eng.mtf;Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Bernd_Arrival.eng.mtf;Bob_Arrival.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard1_Arrival.eng.mtf;CasinoGuard2_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,"Nej, våra gäster kan komma när som helst | Det är allt jag kan säga dig | Jo det kan vi nog ordna"
now,en,43,Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_CanSellSoda.eng.mtf;Babcia_DoorFixed.eng.mtf;Babcia_DoorProblems.eng.mtf;Babcia_FirstDay.eng.mtf;Babcia_GotIntoRoom.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_TryFindLodge.eng.mtf;Bob_WellspringContact.eng.mtf;Bower_CanSellSoda.eng.mtf;Bower_GamblingTonight.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dave_Arrival.eng.mtf;Dorian_AfterStalking.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_CakeParty.eng.mtf,"I'm off to bed now, take care! | I'll hit the town now, bye! | I have the card now"
good,en,42,Babcia_AfterGhostVisit.eng.mtf;Babcia_AfterStalking.eng.mtf;Babcia_Arrival.eng.mtf;Babcia_Ghosts.eng.mtf;Bernd_CanSellSoda.eng.mtf;Bernd_FirstDay.eng.mtf;Bob_Arrival.eng.mtf;Bob_CanSellSoda.eng.mtf;Bob_ClubDotGig1.eng.mtf;Bob_WellspringContact.eng.mtf;Bouncer_AfterStalking.eng.mtf;Bouncer_Arrival.eng.mtf;Bouncer_YouAreMemberNow.eng.mtf;Bower_Arrival.eng.mtf;Bower_CanSellSoda.eng.mtf;Bower_GamblingTonight.eng.mtf;CasinoBartender_Arrival.eng.mtf;CasinoGuard2_Arrival.eng.mtf;Chuck_Arrival.eng.mtf;CityHallGuard_Arrival.eng.mtf;DancingBeauty.eng.mtf;Dorian_Arrival.eng.mtf;Dorian_YouAreMemberNow.eng.mtf,"Well, I guess that's a good thing | But isn't it good that people actively care about things? | Have a good one"
